id,followers_count,followings_count,post_count
instagram_11/12/2017-19:46,153,415,42
id,followers_count,followings_count,post_count
instagram_11/12/2017-19:46,153,415,42
id,followers_count,followings_count,post_count
instagram_11/12/2017-20:00,153,415,42
id,followers_count,followings_count,post_count
instagram_11/12/2017-20:47,153,415,42
